#{"t_start": 1777827380.5615766, "env_id": "None"}
r,l,t
97.092234,251,4.814773
37.911888,126,5.205921
-9.394088,52,5.34434
-3.367332,66,5.521969
44.92433,128,5.857297
1163.203084,500,7.407002
614.154979,242,8.076339
44.484455,120,8.400049
432.258234,500,9.734424
173.712005,371,13.367074
643.111098,500,14.845819
64.866767,143,15.239108
352.899714,357,16.214558
31.7858,81,16.43994
0.62103,43,16.562343
-16.628874,53,16.699847
-10.338336,49,16.834804
320.437615,389,17.883936
302.875455,430,21.183872
14.160704,131,21.556231
921.743312,500,23.116288
83.129744,131,23.501279
520.646243,369,24.604192
347.035655,460,25.802326
-14.707656,19,25.859872
26.463328,110,26.195078
-18.681158,20,26.251517
47.119907,76,28.5609
320.543384,500,30.088303
53.875419,126,30.435729
20.210307,60,30.595018
165.90813,247,31.221776
1305.173799,500,32.808666
884.347492,500,34.622134
272.712859,319,36.97903
601.099012,500,37.997875
409.810331,500,38.979889
421.002577,500,39.785235
55.521169,116,39.989048
1290.663039,500,42.567742
598.441103,500,43.551393
468.924157,500,44.494311
663.846784,350,45.301068
1430.038245,500,48.299919
820.923246,500,49.297603
66.931107,151,49.59431
162.244869,204,50.064029
-28.784992,39,50.129889
188.204906,206,50.47746
20.163813,104,50.703572
-32.757284,20,50.735826
338.243082,500,51.812357
916.481924,372,53.892026
-38.500495,25,53.932836
126.746691,195,54.308966
397.663188,500,55.12348
1076.997665,500,56.084015
108.609421,243,56.489367
854.625863,500,58.659038
679.076938,379,59.390147
1047.860926,500,60.39491
570.586449,229,60.900902
532.240506,500,61.877416
313.375,171,62.212271
1280.072513,500,64.431206
401.700336,500,65.292682
465.474081,500,66.33129
28.241351,110,66.508567
625.790446,369,67.137408
737.56626,500,69.429601
16.581712,21,69.471825
356.853028,500,70.342605
819.164481,500,71.231055
468.101727,299,71.830605
22.382164,104,72.018163
52.325526,117,72.214374
661.499147,500,74.354755
520.839684,429,75.162694
18.665819,88,75.314491
928.765787,500,76.306427
-47.297841,6,76.31611
289.883433,385,76.973332
75.659712,257,77.405837
80.924626,210,79.106527
-10.362608,64,79.217578
203.05305,313,79.826117
452.209491,500,80.617653
81.194844,127,80.839922
16.848569,97,81.006285
32.799384,78,81.134248
-31.515085,42,81.204859
58.060074,138,81.431308
690.164488,418,82.186054
38.506934,150,82.454185
618.514943,500,85.755537
1329.919361,500,86.97638
32.556189,111,87.175342
1392.056277,500,88.377769
33.011342,142,88.595951
321.189278,500,91.131419
226.96933,158,91.512254
11.772034,74,91.645225
862.075277,500,92.725028
-12.894545,45,92.798929
587.280832,379,93.557839
175.265044,343,94.24201
67.16755,103,94.476292
766.971796,500,96.715589
642.840685,500,97.646846
368.947058,395,98.39201
